DiagnosticCentreName,DiagnosticCentreAddress,CityName
"Utkal Hospital","PLOT NO-C/3, NILIDRI VIHAR, CHANDRASEKHARPUR, BHUBANESWAR",Bhubaneswar
"Manas Hospital","A-93, Sector-34, Gautam Budh Nagar, Noida-201301.
Tel. No. 01204243884/85 Nodal Officer: Mr. Manan Sharma Mob. No. 9711463486
hrdmanashospital@gmail.com. ",DELHI/HQ/DIRECTORATE/MINISTRY
"Swastika Dental Care, Prayagraj","331 A/1 NAI BASTI, KYDGANJ, PRAYAGRAJ 211003",Prayagraj
"Maa Ram Pyari Hospital Research Centre Pvt. Ltd.","YADAV BHAWAN KARAMTOLI RANCHI-834001 TEL-NO.-0651- 2360309",Ranchi
"Sai Jyothi Eye Institute, West Maredpally Secunderabad","Plot No.185,Road No.1, West Marredpally, Secunderabad-500 026.Tel.No.040-27719170	saijyothieyehospital@gmail.com                Maheshwar Reddy    9885535111
",Hyderabad
"Mehndiratta Hospital (Ambala)","Manali House, Ambala- Haryana-134003
Tel:0171-2553240  Mob:9914750544
",Chandigarh
"Vraj Dental Clinics Pvt Ltd","GF,ASHOK HOUSE 2, INSIDE  THE SANSTHA VASAHAT GATE RAOPURA,VADODARA 390001.
Dr. Ujas Shah-MOB-9427784433
E-mail- vrajgroupofdental@gmail.com",Ahmedabad
"Dental Maestro","Shivam Medical Centre, Main Nagafgarh Road, Nangloi, Delhi110041. ",DELHI/HQ/DIRECTORATE/MINISTRY
"Medstar Hospital","A345, Meera Bagh, Outer Ring Road, Paschim Vihar, New Delhi110063. Tel. No. 01143242424",DELHI/HQ/DIRECTORATE/MINISTRY
"Sarvodaya Hospital","Sector-19, Gopi Colony, Faridabad-121002
Nodal Officer: Mr. Sudhansu B. Mohanty, Mob. 8376908350, accounts@sarvodayahospital.com",DELHI/HQ/DIRECTORATE/MINISTRY
"Hp Ortho Care","26-29 BDA Enclave KMV Road, Pathankot Bye Pass, Jalandhar-144004 Punjab
Mob:6239000648",Chandigarh
"Sadhna Hospital Pvt. Ltd","Jharkhand Moad ",Jaipur
"Jeevanjyoti Hospital","Mhaske Complex, Opp. Shivratna Hotel, Kalwadi Phata, Pune-411017",Pune
"Jp Eye Hospital, Mohali","Phase VII, Mohali",Chandigarh
"Mure Memorial Hospital","MaharajbaghRoad, Sitabuldi, Nagpur-440001 Tel: 0712 -252 2370 /2535317",Nagpur
"P D Hinduja Sindhi Hospital",cghs@hindujasindhihospital.com,Bengaluru
"Centre For Sight (A Unit Of New Delhi Centre For Sight Limit","Plot no. 31, ISBT Commercial Campus, Narmadapuram Rd, Habib Ganj, Bhopal, Madhya Pradesh - 462011.",Bhopal
"Aprajita Hospital","B-1/5 Sector-G, Jankipuram, Lucknow, Uttar Pradesh-226021",Lucknow
"S.S.Dental Hospital,Visakhapatnam","S.S.Dental Hospital, 17-1-23, Opp. KGH Clock Tower, Maharanipeta, Visakhapatnam-530 002, Tel.No.0891-2732833, ",Hyderabad
"Ajay Hospital,","Bhopal Vihar, Opp. Radha Govind Engg. College, Garh Road, Meerut Ph. No. 0121-2600028, 9837147793",Meerut
"Omni Hospitals,Kukatpally, Hyderabad","Plot No 20 21 22A 22B 22C 23 24 Balaji Nagar Kukatpally Hyderabad-500072 Tel-040 68252525 ",Hyderabad
"Navodaya Cancer Hospital & Research Center","M.P. Nagar, Zone-II Bhopal, 0755-2553663",Bhopal
"Madaan Hospital","1, Pink Avenue, Majitha Road, Amritsar-143001, Punjab
Tel: 0183-2571780 Mob:9216053538",Chandigarh
"Sis Hospital","3-Com 1/9, Ambedkar Puram Awas Vikash No. 3 Kalyanpur, Kanpur-208017 Mob No. 9336119188 email id sishospitalkanpur@gmail.com ",Kanpur
"Balaji Dental Centre","B-2/11 First Floor Paschim Vihar 110063",DELHI/HQ/DIRECTORATE/MINISTRY
"Dr. Gopal Goel'S Dental Clinic & Implant Centre","28, 1st Floor, Krishna Market, Jhilmil Colony, Opp. ABlock, Vivek ViharII, Delhi110095. ",DELHI/HQ/DIRECTORATE/MINISTRY
"Matri Prerna Eye Hospital","Industrial Area,Kokar,Ranchi - 834001Tel. No. 0651-25446760651-2544230Mob. No.9771412029",Ranchi
"Udai Omni Hospitals Private Limited","5-9-92/A/1, CHAPEL ROAD,HYDERABAD-500001,PMJAY NODAL PERSON -NAGESHWAR RAO,9154152089 ",Hyderabad
"""M/S. Aarthi Scans","6-3-347/12/A/10/1/7, Saibaba Temple Rd, near Model House, Dwarakapuri, Punjagutta, Hyderabad, Telangana 500082 Contact Person : Lakshmi Narsimha 
 Mob : 9150743330
 Nodal Officer : Sna",Hyderabad
"Hcg Nchri Cancer Centre","Khasra No. 50, 51, Mouja Wanjari, Bade Nawaz Nagar, Near Automotive Square, Kalamna Ring Road, Nagpur-440026.

Tel:-  0712-6711200

Email:- info@hcgoncology.com , sujit.s@hcgoncology.com   
",Nagpur
"Khairabad  Eye Hospital & Mahendra Eye Institute","112/202, Swaroop Nagar, Kanpur. Ph. 0512-2525221, 9919335544
E-mail: drmanishmahendra@gmail.com",Kanpur
"Yatharth Wellness Super Speciality Hospital & Heart Centre","NHI, Sector110, Noida. Tel. No. 9582833333, 9582933333",DELHI/HQ/DIRECTORATE/MINISTRY
"Prayag Retina Care, Prayagraj","8/9/4, PANNA LAL ROAD, DARBHANGA COLONY, PRAYAGRAJ - 211002 ",Prayagraj
"Health 1 Super Speciality Hospital","NEAR VENETIAN VILLA, SHILAJ CIRCLE, THALTEJ, AHMEDABAD-380059 Dr. Hardik Shah
Mob:8460893223 Dr. Jigar Vasani Mob:8141003987 Email- info@health1.co.in
hardik22in@gmail.com
",Ahmedabad
"Divine Eye Hospital","Clinic Site No-2, Sector 15, Behind Raghunath Mandir, Panchkula-134113. Haryana.
Tel: 0172-4506369 Mob: 9780100615",Chandigarh
"Umaprem Netralay, Eye Hospital, Varanasi","N.6/13E-1-2, Chitaipur, Varanasi-221005, Uttar Pradesh",Prayagraj
"Samprathi Eye Hospital & Squint Centre",cghssamprathi@gmail.com,Bengaluru
"Marudhar Hospital","A-93-99, Singh Bhoomi,",Jaipur
"Mahatma Gandhi Cancer Hospital, Visakhapatnam","Plot No.1 Sector 7, MVP colony, Visakhapatnam-530 017, Tel.No.0891-2878787",Hyderabad
"Sreshta Sri Kamala Hospitals","16-11-739/192, Main Road, Dilsukhnagar,HYDERABAD
PAMJAY Nodal person:R Suresh Kumar,contact:9704137607,
Email:bd.sreshtasri@gmail.com,sreshtasrihospitals@gmail.com",Hyderabad
"Gumber Eye And Dental Care Centre","3584, Putlighar, Amritsar-143001",Chandigarh
"Goels Multispeciality Dental Clinic And Implant Centre","B-90 Ananta Jyoti Colony Durga Puri Chowk East Delhi 110032",DELHI/HQ/DIRECTORATE/MINISTRY
"Ms Ramaiah Memorial  Hospital",cghs@msrmh.com,Bengaluru
"Amicare Hospital Orthopedic & Multispeciality Centre","Plot No. 15/16, Nyay KhandI, Near Indirapuram Public School, Indirapuram, Ghaziabad201014. Tel. No. 9818248928, 9810908928",DELHI/HQ/DIRECTORATE/MINISTRY
"Top Stars Multi Specialty Hospital, Vijayawada","BANDAR ROAD, KANURU , VIJAYAWADA",Hyderabad
"Sai Shiva Netralaya","AHINSA CHOWK, KACHNAR CITY ROAD, VIJAY NAGAR, JABALPUR",Jabalpur
"Centre For Sight","B5/24, Safdarjung Enclave, New Delhi. Tel: 9313837311, 01145738888, 41644000",DELHI/HQ/DIRECTORATE/MINISTRY
"Dr Binus Sun Rise Eye Hospital","Opp: Sreepuram English School, Chettipedika, Kannur, Kerala 670004",Trivandrum
"Astha Lok Hospital","N/4, Professor colony, Near Kendriya Vidyalaya, Kankarbagh, Patna - 800020

Dr Mahesh Prasad, MD
Mob- 7763802407

Mr. Lakshmi Pandit
Mob- 9931695524
Email Id- aasthalokhospital@gmail.com",Patna
"Noida Mri And Diagnostic Centre (A Unit Of Sds Healthcare--","1/39, B -Block Market, Sector-51,
Noida, Uttar Pradesh-201307 
Nodal Officer: S K Tiwari 
Mob. No. 9899601567 
Email Id. . sdshealth.imagingltd@gmail.com",DELHI/HQ/DIRECTORATE/MINISTRY
"Life Imaging Centre Unit Of International Centre For Brain A","Between Home Science College Road, Shastri Bridge, Napier Town Jabalpur MP",Jabalpur
"Saral Diagnostics Classic Pvt. Ltd.","E1B, Sector39, Near Rayan International School, Noida. Tel. No. 9580007000",DELHI/HQ/DIRECTORATE/MINISTRY
"Meenakshi Hospital (A Unit Of Rajshree Hospitals Private Ltd","B-12 and B -13, Kaushambi, Ghaziabad, UP -201010 
Nodal Officer: Mr Satveer
Mobile No. 9654005329 / 9891438883 
Email Id. info.ams.mh@gmail.com
",DELHI/HQ/DIRECTORATE/MINISTRY
"Bhargava Medical & Trauma Centre","30E, O Block, Kidwai Nagar, Kanpur, Uttar Pradesh 208023
 Ph. 0512-2600580, 2600590,
 08932889900, 08934889900",Kanpur
"Centre For Sight","A3, Najafgarh Road, Opp. Metro Pilar No.62B, Vikaspuri, New Delhi110018. Tel. No. 01125612976777",DELHI/HQ/DIRECTORATE/MINISTRY
"Delhi Dental Hub","9, State Bank Nagar, Paschim Vihar, New Delhi. ",DELHI/HQ/DIRECTORATE/MINISTRY
"Ranjit Hospital (Jalandhar)","58 Kapurthala Road  Patel Chowk  Jalandhar- Punjab
Tel:0181-2620600
Mob: 9592917738",Chandigarh
"Asg Hospital Pvt. Ltd.","124 Near Shastri Bridge, Napier Town, Jabalpur ",Jabalpur
"Pushpanjali Medical Centre","A14 & 15 Pushpanjali, Vikas Marg Extn. Delhi  110092.",DELHI/HQ/DIRECTORATE/MINISTRY
"Diva Eye Hospital","HiraBaugAmbawadi,Ahmedabad Ph No : 079-26562006 Fax No: 079-26408726",Ahmedabad
"Dr Hedgewar Rugnalaya Aurangabad","15309/01 GUT NO. 4, NEAR GAJANAN MAHARAJ MANDIR, GARKHEDA AREA JAWAHAR COLONY ROAD, AURANGABAD 431001
0240-2331195",Pune
"Apollo Specialty Hospitals Pvt. Ltd.","
J-2/7 Mahaveer Marg, 

",Jaipur
"Sri Sai Hospital(A Unit Of Medinova Health Care Pvt. Ltd.)","Delhi Rd, Mansarover Colony, Line Par, Moradabad, Uttar Pradesh 244001
.Tel no.0591-2479800",Meerut
"Hcgeko Cancer Centre","Plot No. DG4, Premises 03-358, Near DPS, New Town, Kolkata, West Bengal 700 156 ",Kolkata
"Centre For Sight Ahmedabad","ABC -1(Amarnath Business centre)1st& 2nd floor,Navrangpura,Ahmedabad0 79 40099706/40059706",Ahmedabad
"Shendkar Healthcare And Hopitality Services Pvt Ltd. Global Hospital And Research Institute","577 / 2, Off Sinhagad Road,Near Dattawadi Police Chowky, Dattawadi, Pune 411030",Pune
"Dr Agarwals Eye Hospital Bannerghatta Road",cghsbangalore@dragarwal.com,Bengaluru
"Shree Shirdi Sai 4ds Dental , Visakhapatnam","D.No.43-30-23, Ashirwad Plaza, Upstairs of RK Bazar Vegetable shop, Dondaparthi, Akkayyapalem, Visakhapatnam-530 016, Tel.No.0891-2597444",Hyderabad
"Nelson Mother","Plot No. 32, Behind Hitvada Press, Besides SpandanHospital, Dhantoli, Nagpur-440012.",Nagpur
"Heart Hospital Pvt. Ltd.","B-29, Patrakar Nagar, B/W Kendriya Vidyalaya and HDFC Bank, Kankarbagh, Patna - 800020",Patna
"S.M. Hospital                      W.E.F 01-05-2018","A-15, Shastri Nagar, Garh Road, Meerut Ph. No. 0121-2602602",Meerut
"Sai Dental And Implant Clinic","130, Mohammadpur, R.K. Puram, Behind Bhikaji Cama Place, New Delhi110066. Tel. No. 9811119334",DELHI/HQ/DIRECTORATE/MINISTRY
"Dr. D.Y.Patil Medical College, Hospital And Research Centre","Sant Tukaram Nagar, Pimpri, Pune-411018",Pune
"Goyal Eye Institute","1/10, East Patel Nagar, New Delhi. Tel. No. 01125881259/25888145. ",DELHI/HQ/DIRECTORATE/MINISTRY
"Mamata Academy Of Medical Sciences Hospital, Bachupally","Bachupally, Bollarum Industrial Area, Hyderabad - 500090    Tel : 9948081860	K R Anand Babu  9676242706   mamshospitals@gmail.com
",Hyderabad
"Jain Ent Hospital","23-24, Satya Vihar Colony",Jaipur
"Bhagat Chandra Hospital","F1/1, Mahavir Enclave, Near Palam, Dwarka Flyover, Delhi. Tel. No. 0114703900.",DELHI/HQ/DIRECTORATE/MINISTRY
"Swagat Super Speciality Surgical Institute","MAHAPURUSH DAMODARDEV PATH, OPP. GATE NO.4, MALIGAON, GUWAHATI-781011, ASSAM, NODAL OFFICER- JAYA BASUMATARY, CONTACT No. 86381 59838",Guwahati
"Imax Multispeciality Hospital","Pune-Nagar Road, Sant Tukaram Nagar, Opp. Kesnand Phata, Wagholi, Pune-412207",Pune
"Dr.Agarwal’S  Health Care Ltd. - Tambaram","TDK TOWER,
6, DURAISWAMY REDDY STREET, WEST TAMBARAM, CHENNAI-45
044-39916500
044-22264845
",Chennai
"I Care Centre","C6/9, Safdarjung, Development Area, New Delhi. Tel.No. 01126963999, 9873783824",DELHI/HQ/DIRECTORATE/MINISTRY
"Acuravision Clinics","Roop Netralaya Building, Opp. N.A.S. College, E.K. Road, Meerut",Meerut
"Mahalaxmi Netralaya And Maternity Centre, Prayagraj","74/2 STAINLEY ROAD, STAINLEY ROAD, PRAYAG, PRAYAGRAJ - 211002",Prayagraj
"Vinayak Hospital","Biharipur Civil Lines, Opposite City Railway Station, Bareilly, U.P-243001.",Lucknow
"Global Dental Hospital Orthodontic And Implant Centre","E-47 Medical College Road Near Mahaveer Circle Jodhpur",Jaipur
"Wellsun Medicity Super Speciality Hospital","8B/NH-5, Vrindavan Yojna, Shaheed Path, Lucknow-226010.",Lucknow
"Prakash Netra Kendr Private Limited Lucknow","NH-2, Vipul Khand-4, Gomti Nagar, Lucknow-226010",Lucknow
"Shivam Hospital","Plot No. 57, CRW, CHS Near MIDC Water Tank, Kalyan Road, Dombivali (E) - 421 201",Mumbai
"M/S. Tsc Hospital Private Limited,","N.H By pass road, S N Nagar, Kulathoor, Thiruvananthapuram: ,",Trivandrum
"Kothari Hospital","Gate No. 4, Near Madan Mahal Station Road Wright Town Jabalpur
0761-4004108",Jabalpur
"Care And Cure Multispeciality Hospital","Besides Nilamkunj Society, Nr Gokulnathji Haveli Mira Cinema Cross Road, Bhairavnath, Shah Alam Rd, Maninagar, Ahmedabad, Gujarat 380028 MOB.- 7990722396",Ahmedabad
"Krishna Super Speciality Hospital","363, Harrisganj Near Tat Mil Chauraha, Kanpur.
Ph. 2320061/71/72/73
E-mail: krishnasuperspecialtyhospital@rediffmail.com",Kanpur
"Kims-Kingsway Hospitals","""Railway Station Road, 44, Mohan Nagar, Near Kasturchand Park, Nagpur-440001 ",Nagpur
"Daukiya Hospital And Medical Research Centre","22-23, Opp. Pratap Nagar Chungi Naka  Soorsagar Road Jodhpur",Jaipur
"Ramesh Neuro","plot no.6, Manikya Nagar, KMG Garden Road, Near Chintal Bus stop Qutbullapur, Hyderabad-500 054 Tel.No.040-29557700	Contact Person N Naveen Kumar Mob:91221267922 Nodal Officer Smt G Vijaya Bharathi ",Hyderabad
"M/S. Vasan Health Care Private Limited, Vijayawada","14-44, Prakasam Road, Near Hotel Pushpa, Suryaraopeta, Vijayawada, Andhra Pradesh 520002
Contact Person: Rahul Tomar Mobile:8463818721 Nodal Officer: Mr. Kishan Kumar Srivastav Moblie: 9140370703
",Hyderabad
"Tagore Hospital & Research Institute","TAGORE LANE, SECTOR-7, ",Jaipur
"Centre For Sight - Varanasi","D 59/73A, Opposite Banaras Kala Kendra, Mahmoorganj, Varanasi â 221010 , Uttar Pradesh",Prayagraj
"Hosp7p130342 Apex Citi Hospital Empanelled","D-440 West Vinod Nagar, I.P .Extn.. Delhi-110092.
Tel. No. 011-22473111, 22472111. Nodal Officer: Mr. Manoranjan Kumar Pandey Mob. No. 9013402089 apexcitihospital@ymail.com""
",DELHI/HQ/DIRECTORATE/MINISTRY
"Matis Multispeciality Hospital, Ahmedabad","OPP. GURU COLD STORAGE, ACROSS ADANI CNG STATION, NEAR MOTERA CROSS ROADS BRTS BUS STOP, SABARMATI, AHMEDABAD -MR. ANIL PARIKH MOB.- 9761894914, 079-69011111, 7486058815 billing@matishospitals.com
",Ahmedabad
"Sarakshi Netralaya (Advanced Eye & Vitreo Retinal Centre)","19, Rajiv Nagar, Near Bharat Furniture, Wardha Road, Nagpur-440025.
0712-2295630/631/632
sarakshi.netralaya@gmail.com
",Nagpur
"Mgm (Vashi)","Plot 35, Sector 3, Vashi, Navi Mumbai 400703
",Mumbai
"Medaz Super Speciality Hospital Pvt. Ltd.","Biscoman colony Golamber (Bajrangpuri), Gali Ghat, Near Gandhi Setu, Patna - 800007",Patna
"Meerut Cancer Hospital                                    W.E.F. 30-07-2018","Near St. Thomas English Medium School, Chippi tank, Meerut",Meerut
"Jaanki Hospital","469, Rohit Nagar, Phase - 1 Bawadiyakalan, Bhopal, 0755-0755 - 4008011",Bhopal
"Max Vision Eye Care Centre,","95, Nemi Nagar, ",Jaipur
"Shekar Eye Hospital",seh.cghs@gmail.com,Bengaluru
"M/S. Divya Prabha Eye Hospital,","Kumarapuram, Thiruvananthapuram",Trivandrum
"Asg Eye Care (A Unit Of Asg Hospital Private Limited)","G.S.ROAD, DISPUR, GUWAHATI-781006, ASSAM,
NODAL OFFICER- DEBASISH BORUAH, CONTACT No. 95776 62244",Guwahati
"Omega Hospitals Gachibowli","Sy No. 18 P, Seven Hill Colony, Gachibowli, Hyderabad- 500032   Tel No. 040 - 25552555   Mail Id  : corporate@omegahospitals.com	Contact Person : Mr. G. Anil Kumar  : 9000961818                       ",Hyderabad
"Park Hospital","Meera Enclave, (Chokhandi) Near Keshopur Bus Depot Outer Ring Road, New Delhi  110018.  Tel:.011 4532 3232",DELHI/HQ/DIRECTORATE/MINISTRY
"Singh Medical And Surgical Center, Varanasi","S 14/84 G, MALDAHIYA, VARANASI, UTTAR PRADESH",Prayagraj
"Sharada Clinic","408/1, Near Ekbote Colony, Ghorpadi Peth, Shankarseth Road, Swargate Pune- 411042",Pune
"Rajdhani Dental And Orthodontic Centre","B48, Rajan Babu Road, Adarsh Nagar, Delhi  110033. Tel.No. 01127673109, 9811635679.",DELHI/HQ/DIRECTORATE/MINISTRY
"Asian Eye Institute And Laser Centre Pvt Ltd.","101, Satyanarayan Apartment, Opp.G.H.High school, Off. M.G Cross Road, Borivali (E)Mumbai-400066, 022-28940598",Mumbai
"New Angel Hospital And Research Centre","128/33 H Block Kidwai Nagar, Kanpur UP.",Kanpur
"S.K. Dental","8/8, Moti Nagar, New Delhi  110015. Tel. No. 9312509737,  ",DELHI/HQ/DIRECTORATE/MINISTRY
"Ruban Memorial Hospital","19, Patliputra Colony, Patna - 800013 (Bihar) Sh. Santosh : 9314611919 (Director Admn.) and Rakesh 8873035270 (corporate Manager)",Patna
"Sardar Vallabhbhai Patel Institute Of Medical Science & Research( Svpimsr )","SVPIMSR 1ST FLOOR UTILITY BUILDING, ELLISBRIDGE, AHMEDABAD PIN-380006",Ahmedabad
"Priti Nursing And Maternity Home, Prayagraj","39, CY Chintamani Rd, Darbhanga Colony, George Town, Prayagraj, Uttar Pradesh 211002",Prayagraj
"Max Super Speciality Hospital (Vaishali Ghaziabad)","W3, Sector-1, Vaishali, Ghaziabad.   Tel.No. 120 4173000, 4188000. ",DELHI/HQ/DIRECTORATE/MINISTRY
"Cure One Dental Clinic	","Shop No 3, Krishnanchal Complex, Idgah Hills, Opp. Cambridge School
 Bhopal(M.P) - 462001, Ph  4075103, M 9827033401

",Bhopal
"Medica Superspeciality Hospital","127, Mukandapur, E.M. Bypass, 324, Barakhola, Kolkata - 700 09",Kolkata
"Tulip Multi Speciality Hospital Pvt. Ltd.","TP Scheme 15, Near Vivekanand Chowk, Delhi Road, Sonepat131001.",DELHI/HQ/DIRECTORATE/MINISTRY
"Shreshtha Netra Chikitsalaya Pvt. Ltd.W.E.F. 01/08/2018","Ground Floor,Krishna Mall,Between Gate No 1 & 2, Ashok Nagar, Ranchi-834002Tel. No. 0651-2245162Mob. No.9771430108",Ranchi
"Mahavir Arogya Sansthan","Near Chiraiyatand, Kankarbagh, Patna - 800020
Rajesh Ranjan, 9431293636 drsc.mishra@yahoo.com
",Patna
"Sri Sai Nethralaya Eye Hospital","Plot No.20, BN Reddy Naga Main Road, Saroor Nagar, Karmanghat, Hyderabad - 500 070
contact person: Dr Santosh Kumar - 9703221167 Nodal Officer: Anil Kumar - 9030091257
",Hyderabad
"Shri Ram Murti Smarak Functional Imaging","13KM Bareilly- Nainital Road Bhojpura, Bareilly, UP-243202.",Lucknow
"Vone Hospital","2/1, Residency Area,
AB Road, Geeta Bhawan 
Square, Indore (M.P)- 452001
",Bhopal
"People Heritage Hospital Agra","7/52 Jawahar Nagar Bye Pass Road  NH-2 Agra, U.P-282002",Lucknow
"Dr. Nanda Eye Care Centre","A200, Sector8, Dwarka, New Delhi  110075. Tel.No. 9811339950.",DELHI/HQ/DIRECTORATE/MINISTRY
"Health View Diagnostic Centre","Gyan Deep Complex, Ground Floor, Laxmi Market, opp. Canara Bank, Munirka, New Delhi110067.",DELHI/HQ/DIRECTORATE/MINISTRY
"Ashok Nursing Home","F3/1316, Vijay Chowk, Krishna Nagar, Delhi. Tel. No. 01122003420, 9811100764.",DELHI/HQ/DIRECTORATE/MINISTRY
"Dr Bakshi Gupta Eye Care Centre","121/7 (opposite HUDA office), Sec-7 Panchkula- 134109
Tel: 0172-2596395  Mob: 7888614870",Chandigarh
"Er. H. N. Nema Memorial Super Speciality Heart & Critical Care Hospital","Opp.  ISBT  Near Deendayal chowk,  ITI  Road Jabalpur
0761-2644555",Jabalpur
"Nexus Superspeciality Dental And Implant Centre","12 DDA Flats Opposite School No 1 Mansarovar Park Sahdara Delhi 110032 Nodal Officer Dr Reena Sharma Mob 9953315595 Email nexusdental@yahoo.com",DELHI/HQ/DIRECTORATE/MINISTRY
"Foresight Eye Clinic,","House No. 106, RPS DDA Flats, Sheikh Sarai, New Delhi 110017",DELHI/HQ/DIRECTORATE/MINISTRY
"Dr. Das Path Lab Managed By Sushruta Focus Pvt. Ltd.","A-28 Lower Ground Floor Ghanshyam Dass Jain Marg South Extension Part-2 New Delhi 110049",DELHI/HQ/DIRECTORATE/MINISTRY
"Human Care Medical Charitable Trust","Near MTNL Building Sector 06 Dwarka New Delhi 110075
Nodal Officer Mr. Dheeraj
Mob 9958945235",DELHI/HQ/DIRECTORATE/MINISTRY
"Sjm Super Speciality Hospital","Sector-63, Near Hindon Bridge NH 09, Noida- Uttar Pradesh

Nodal Officer: 
Mr Roopesh Kumar 
Dr. Ashok Singh 
Mob. No. 95409810410, 9818860889 ",DELHI/HQ/DIRECTORATE/MINISTRY
"Mangalam Medical And Surgical Centre","154/81, Main Bawana Road, Pooth Khurd, Near Sector35, Delhi110039. Tel. No. 01127762135.",DELHI/HQ/DIRECTORATE/MINISTRY
"Yashlok Hospital & Nursing Home Pvt. Ltd.,","Eastern Kutchery Road, Meerut Ph. No. 0121-2649525",Meerut
"Urban Dental Skin Clinic","E-2/59 , 1st floor, Arera Colony, near Allahabad Bank, Bhopal (M.P) -462016 ",Bhopal
